Season,Total in Month, Avg Agent Age, Avg Agent SI
january, 446,758.36181640625,7591.2685546875
february, 409,779.7449340820312,8370.6748046875
march, 376,778.3049926757812,9055.7880859375
april, 361,778.6572265625,9298.6455078125
may, 381,778.4735717773438,8787.158203125
june, 403,778.299072265625,8326.3544921875
july, 429,774.581298828125,7847.28857421875
august, 458,772.9383544921875,7341.91064453125
september, 478,756.25927734375,6974.39599609375
october, 497,748.052490234375,6740.78515625
november, 502,751.7478637695312,6688.30517578125
december, 493,774.23876953125,6850.15576171875
