Season,Total in Month, Avg Agent Age, Avg Agent SI
january, 480,907.6624755859375,7428.3994140625
february, 424,925.4844970703125,8325.5888671875
march, 379,936.6138305664062,9201.36328125
april, 371,944.7595825195312,9185.3330078125
may, 389,942.6080932617188,8643.4013671875
june, 422,913.5965576171875,7930.2275390625
july, 453,881.9273071289062,7443.23291015625
august, 488,870.8118896484375,6975.1806640625
september, 532,884.3711547851562,6424.18212890625
october, 550,894.238525390625,6249.02392578125
november, 545,897.453125,6430.3857421875
december, 515,907.7351684570312,6917.0322265625
