Season,Agent Type,Agent Type Count, Avg Air Nutrients, Avg Soil Nutrients
january,leaf agent count,210,0.9195051789283752,1.3941540718078613
january,root agent count,222,2.3300294876098633,0.9430886507034302
january,flower agent count,40,1.0802403688430786,0.9268221259117126
february,leaf agent count,185,0.9481080174446106,1.3237640857696533
february,root agent count,200,2.396476984024048,0.9524960517883301
february,flower agent count,36,1.0552088022232056,0.7986800074577332
march,leaf agent count,158,1.1009232997894287,1.4057506322860718
march,root agent count,185,2.433734655380249,1.09825599193573
march,flower agent count,28,1.1677086353302002,0.8908668756484985
april,leaf agent count,156,1.1193221807479858,1.42816960811615
april,root agent count,190,2.2664291858673096,1.3596327304840088
april,flower agent count,23,1.3049814701080322,1.1346642971038818
may,leaf agent count,166,1.1409934759140015,1.3638402223587036
may,root agent count,196,2.1903913021087646,1.602638840675354
may,flower agent count,23,1.3701072931289673,1.211970329284668
june,leaf agent count,179,1.1804451942443848,1.3638499975204468
june,root agent count,201,2.303682565689087,1.7093242406845093
june,flower agent count,25,1.3597838878631592,1.120245337486267
july,leaf agent count,193,1.2617241144180298,1.4926749467849731
july,root agent count,207,2.493067979812622,1.5210161209106445
july,flower agent count,30,1.4749425649642944,1.2127717733383179
august,leaf agent count,203,1.2431293725967407,1.6107345819473267
august,root agent count,224,2.505178451538086,1.43311607837677
august,flower agent count,36,1.43747079372406,1.2818522453308105
september,leaf agent count,218,1.2181262969970703,1.6697672605514526
september,root agent count,236,2.431293487548828,1.3942010402679443
september,flower agent count,42,1.4525538682937622,1.2710949182510376
october,leaf agent count,227,1.1800956726074219,1.6780235767364502
october,root agent count,240,2.460521936416626,1.254446268081665
october,flower agent count,46,1.4207066297531128,1.2191855907440186
november,leaf agent count,228,1.0903675556182861,1.6371439695358276
november,root agent count,244,2.378859043121338,1.1076587438583374
november,flower agent count,46,1.3367408514022827,1.1772680282592773
december,leaf agent count,219,0.9888216257095337,1.5463272333145142
december,root agent count,239,2.3128373622894287,1.0612151622772217
december,flower agent count,43,1.2394237518310547,1.0842828750610352
