Season,Agent Type,Agent Type Count, Avg Air Nutrients, Avg Soil Nutrients
january,leaf agent count,236,1.2599313259124756,1.8011618852615356
january,root agent count,267,1.8708730936050415,1.1254792213439941
january,flower agent count,46,1.3579728603363037,1.0072190761566162
february,leaf agent count,206,1.3056050539016724,1.8766058683395386
february,root agent count,247,1.9711397886276245,1.0781183242797852
february,flower agent count,41,1.3620716333389282,0.8731955289840698
march,leaf agent count,187,1.2747646570205688,1.9621551036834717
march,root agent count,227,2.081834077835083,1.2395001649856567
march,flower agent count,34,1.3844736814498901,0.9028841853141785
april,leaf agent count,187,1.2823832035064697,1.9452908039093018
april,root agent count,228,1.9796326160430908,1.4390162229537964
april,flower agent count,31,1.3603034019470215,1.0417195558547974
may,leaf agent count,186,1.2989624738693237,1.9810631275177002
may,root agent count,229,1.9349770545959473,1.5138781070709229
may,flower agent count,29,1.3536537885665894,1.3131581544876099
june,leaf agent count,185,1.3873460292816162,2.1055779457092285
june,root agent count,244,1.7894434928894043,1.6374108791351318
june,flower agent count,30,1.4581408500671387,1.4556543827056885
july,leaf agent count,203,1.3235735893249512,2.155181407928467
july,root agent count,259,1.7492752075195312,1.8701581954956055
july,flower agent count,32,1.5924463272094727,1.52691650390625
august,leaf agent count,231,1.3290104866027832,2.2135140895843506
august,root agent count,268,1.7964595556259155,1.8026634454727173
august,flower agent count,36,1.5654270648956299,1.5615389347076416
september,leaf agent count,244,1.3478412628173828,2.2335867881774902
september,root agent count,271,1.8623300790786743,1.6052106618881226
september,flower agent count,41,1.5545475482940674,1.590039849281311
october,leaf agent count,253,1.3313820362091064,2.1452722549438477
october,root agent count,270,1.9726288318634033,1.4829685688018799
october,flower agent count,45,1.5428301095962524,1.461169719696045
november,leaf agent count,251,1.2731618881225586,2.075496196746826
november,root agent count,257,2.110630750656128,1.3366289138793945
november,flower agent count,46,1.3505698442459106,1.351487636566162
december,leaf agent count,238,1.1332814693450928,2.0585901737213135
december,root agent count,251,2.000180959701538,1.2019749879837036
december,flower agent count,45,1.2402461767196655,1.269599437713623
